name,l,b,Vlos,Vlos_err,ref_velocity,D_mod,D_mod_err,ref_Distance
Antlia II,264.8009334,11.2542678,288.8,0.4,Ji2021ApJ...921...32J,20.47,0.09,Vivas2022ApJ...926...78V
Aquarius II,55.1082438,-53.0084997,-65.3,1.8,Bruce2023ApJ...950..167B,20.16,0.07,Torrealba2016MNRAS.463..712T
Aquarius III,87.9166898,-62.0297168,-13.1,0.9,Cerny2025ApJ...979..164C,19.66,0.11,Cerny2025ApJ...979..164C
Bootes I,358.1019462,69.6365762,103,0.4,Sandford2025arXiv250902546S,19.11,0.08,DallOra2006ApJ...653L.109D
Bootes II,353.731375,68.864902,-130.4,1.1,Bruce2023ApJ...950..167B,18.1,0.06,Walsh2008ApJ...688..245W
Bootes III,35.405238,75.3534754,197.5,3.6,Carlin2009ApJ...702L...9C,18.34,0.02,Carlin2018ApJ...865....7C
Bootes V,55.6679502,70.9176811,5.1,13.4,Smith2023AJ....166...76S,20.04,0.15,Cerny2023ApJ...953....1C
Canes Venatici I,74.3042831,79.8287591,30.9,0.6,Simon2007ApJ...670..313S,21.62,0.06,Kuehn2008ApJ...674L..81K
Canes Venatici II,113.5743762,82.7012046,-128.9,1.2,Simon2007ApJ...670..313S,21.02,0.06,Greco2008ApJ...675L..73G
Carina,260.1059875,-22.2194162,222.9,0.1,Walker2009AJ....137.3100W,20.118,0.111,Karczmarek2015AJ....150...90K
Carina II,269.981634,-17.1398174,477.2,1.2,Li2018ApJ...857..145L,17.864,0.023,Torrealba2018MNRAS.475.5085T
Carina III,270.0059987,-16.845838,284.6,3.1,Li2018ApJ...857..145L,17.22,0.1,Torrealba2018MNRAS.475.5085T
Centaurus I,300.2697883,21.8998551,44.8,0.8,Heiger2024ApJ...961..234H,20.354,0.07,MartinezVazquez2021AJ....162..253M
Columba I,231.6332922,-28.8854684,153.7,4.9,Fritz2019A&A...623A.129F,21.31,0.11,Carlin2017AJ....154..267C
Coma Berenices,241.8639281,83.6122845,98.1,0.9,Simon2007ApJ...670..313S,18.13,0.08,Musella2009ApJ...695L..83M
Crater II,282.9084214,42.0276406,89.3,0.3,Ji2021ApJ...921...32J,20.333,0.07,Torrealba2016MNRAS.459.2370T
Draco,86.3710883,34.7126412,-290.7,0.75,Walker2015MNRAS.448.2717W,19.557,0.04,Bhardwaj2024AJ....167..247B
Draco II,98.2942351,42.8799852,-342.5,1.2,Longeard2018MNRAS.480.2609L,16.67,0.05,Longeard2018MNRAS.480.2609L
Eridanus II,249.7801696,-51.6431334,75.6,1.3,Li2017ApJ...838....8L,22.84,0.05,MartinezVazquez2021MNRAS.508.1064M
Eridanus IV,209.4961377,-27.7851445,-31.5,1.2,Heiger2024ApJ...961..234H,19.22,0.11,Cerny2021ApJ...920L..44C
Fornax,237.2381877,-65.6740793,55.2,0.1,Walker2009AJ....137.3100W,20.77,0.048,Oakes2022ApJ...929..116O
Grus I,338.679426,-58.2366099,-143.5,1.2,Chiti2022ApJ...939...41C,20.51,0.1,MartinezVazquez2019MNRAS.490.2183M
Grus II,351.1385821,-51.9414253,-110,0.5,Simon2020ApJ...892..137S,18.71,0.1,MartinezVazquez2019MNRAS.490.2183M
Hercules,28.7276681,36.8562771,45,1.1,Simon2007ApJ...670..313S,20.58,0.1,MutluPakdil2020ApJ...902..106M
Horologium I,271.3897126,-54.7368751,112.8,2.6,Koposov2015ApJ...811...62K,19.5,0.1,Koposov2015ApJ...805..130K
Hydra II,295.6184145,30.4764987,303.1,1.4,Kirby2015ApJ...810...56K,20.9,0.11,Vivas2016AJ....151..118V
Hydrus I,297.4162738,-36.7462917,80.4,0.6,Koposov2018MNRAS.479.5343K,17.2,0.04,Koposov2018MNRAS.479.5343K
Leo I,225.9846998,49.1099891,282.9,0.5,Mateo2008ApJ...675..201M,22.06,0.08,Stetson2014PASP..126..616S
Leo II,220.1608308,67.2251707,78.5,0.6,Spencer2017ApJ...836..202S,21.6,0.06,Monelli2025A&A...700A.201M
Leo IV,265.4576584,56.5059706,131.6,1.2,Jenkins2021ApJ...920...92J,20.9,0.06,Medina2018ApJ...855...43M
Leo V,261.8564385,58.5344323,173.1,0.8,Jenkins2021ApJ...920...92J,21.14,0.06,Medina2018ApJ...855...43M
Leo VI,214.5987324,70.3177988,170.03,1.41,Tan2025ApJ...979..176T,20.23,0.12,Tan2025ApJ...979..176T
LMC,279.9795464,-33.7343376,262.2,3.4,vanderMarel2002AJ....124.2639V,18.477,0.024,Pietrzynski2019Natur.567..200P
Pegasus III,69.8598973,-41.8262343,-222.9,2.6,Kim2016ApJ...833...16K,21.66,0.12,Kim2016ApJ...833...16K
Pegasus IV,80.7971567,-21.4031056,-273.6,1.5,Cerny2023ApJ...942..111C,19.77,0.03,Cerny2023ApJ...942..111C
Phoenix II,323.6963296,-59.7506456,32.4,3.75,Fritz2019A&A...623A.129F,19.6,0.2,MutluPakdil2018ApJ...863...25M
Pictor II,269.6366114,-24.0553493,326.9,1.1,Pace2025OJAp....8E.112P,18.26,0.1,Pace2025OJAp....8E.112P
Pisces II,79.2174811,-47.1078917,-226.5,2.7,Kirby2015ApJ...810...56K,21.31,0.17,Sand2012ApJ...756...79S
Reticulum II,266.3006676,-49.7376135,64.3,1.2,Walker2015ApJ...808..108W,17.5,0.1,MutluPakdil2018ApJ...863...25M
Reticulum III,273.8781907,-45.6477545,274.2,7.45,Fritz2019A&A...623A.129F,19.81,0.31,DrlicaWagner2015ApJ...813..109D
Sagittarius,5.6574754,-14.3769257,140,2,McConnachie2012AJ....144....4M,17.1,0.15,McConnachie2012AJ....144....4M
Sculptor,287.696114,-83.152356,111.4,0.1,Walker2009AJ....137.3100W,19.62,0.04,MartinezVazquez2015MNRAS.454.1509M
Segue 1,220.4775831,50.4089639,208.5,0.9,Simon2011ApJ...733...46S,16.8,0.2,Belokurov2007ApJ...654..897B
Segue 2,149.4462034,-38.1444836,-40.2,0.9,Kirby2013ApJ...770...16K,17.81,0.15,Boettcher2013AJ....146...94B
Sextans,243.5087144,42.2732343,224.3,0.1,Walker2009AJ....137.3100W,19.67,0.1,Lee2009ApJ...703..692L
SMC,301.492631,-44.6703322,145.6,0.6,Harris2006AJ....131.2514H,18.99,0.1,Cioni2000A&A...359..601C
Triangulum II,140.896747,-23.8318706,-382.3,0.7,Buttry2022MNRAS.514.1706B,17.27,0.11,Carlin2017AJ....154..267C
Tucana II,328.0862902,-52.3248185,-124.7,1,Chiti2023AJ....165...55C,18.75,0.2,Vivas2020ApJS..247...35V
Tucana III,315.4235632,-56.1908835,-102.3,0.4,Simon2017ApJ...838...11S,16.8,0.1,MutluPakdil2018ApJ...863...25M
Tucana IV,313.3093175,-55.3088967,15.9,1.7,Simon2020ApJ...892..137S,18.36,0.18,Simon2020ApJ...892..137S
Tucana V,316.3147897,-51.8953278,-34.7,0.8,Hansen2024ApJ...968...21H,18.7,0.21,Simon2020ApJ...892..137S
Ursa Major I,159.3623929,54.4267581,-55.3,1.4,Simon2007ApJ...670..313S,19.94,0.13,Garofalo2013ApJ...767...62G
Ursa Major II,152.460305,37.4410062,-116.5,1.9,Simon2007ApJ...670..313S,17.7,0.13,DallOra2012ApJ...752...42D
Ursa Minor,104.9817279,44.8125553,-247,0.4,Spencer2018AJ....156..257S,19.23,0.11,Garofalo2025A&A...695A..88G
Willman 1,158.5728619,56.7832928,-14.1,1,Willman2011AJ....142..128W,17.9,0.4,Willman2006astro.ph..3486W
Andromeda I,121.6788576,-24.8201935,-376.3,2.2,Tollerud2012ApJ...752...45T,24.45,0.05,Savino2022ApJ...938..101S
Andromeda II,128.9048217,-29.1462599,-192.4,0.5,Ho2012ApJ...758..124H,24.12,0.05,Savino2022ApJ...938..101S
Andromeda III,119.3641729,-26.2625286,-344.3,1.7,Tollerud2012ApJ...752...45T,24.29,0.05,Savino2022ApJ...938..101S
Andromeda V,126.2205416,-15.1229936,-397.3,1.5,Tollerud2012ApJ...752...45T,24.4,0.06,Savino2022ApJ...938..101S
